iter	RMSE
0	4.929978233
1	4.743553792
2	4.572799997
3	4.41097859
4	4.260520351
5	4.106148633
6	3.964620243
7	3.829785735
8	3.698794102
9	3.579268507
10	3.462992029
11	3.343045751
12	3.237613399
13	3.133570942
14	3.038478322
15	2.941324081
16	2.858132542
17	2.775136031
18	2.695802029
19	2.620485294
20	2.543803838
21	2.47878079
22	2.413511352
23	2.357007127
24	2.300724842
25	2.244053355
26	2.191279317
27	2.146183066
28	2.105119072
29	2.058488632
30	2.015236684
31	1.974189551
32	1.936433796
33	1.901651179
34	1.870287579
35	1.843871509
36	1.812584893
37	1.789560209
38	1.766741516
39	1.743182164
40	1.717318569
41	1.694689293
42	1.675765133
43	1.655438241
44	1.642476483
45	1.631866778
46	1.620501469
47	1.605482967
48	1.591210803
49	1.579634617
50	1.569620189
51	1.559588973
52	1.547103012
53	1.537201157
54	1.526186811
55	1.517568303
56	1.510843695
57	1.503228327
58	1.498230787
59	1.489609088
60	1.482338476
61	1.475352446
62	1.469113321
63	1.46246557
64	1.456744064
65	1.452370372
66	1.448162364
67	1.444297481
68	1.441852645
69	1.438554496
70	1.433899728
71	1.431257863
72	1.426495145
73	1.423675844
74	1.42227459
75	1.420275157
76	1.417931262
77	1.415626809
78	1.41428853
79	1.411469271
80	1.409892967
81	1.407732722
82	1.405930523
83	1.404853495
84	1.403559036
85	1.401216025
86	1.399738949
87	1.398623662
88	1.397561817
89	1.396505923
90	1.395799403
91	1.394912476
92	1.392789371
93	1.391703871
94	1.389919836
95	1.388181784
96	1.386305886
97	1.385865959
98	1.384982718
99	1.383838243
100	1.383603636
101	1.382049509
102	1.380067246
103	1.379313794
104	1.378868769
105	1.377617818
106	1.377051465
107	1.376585029
108	1.37631062
109	1.375055876
110	1.374185817
111	1.373441574
112	1.372354697
113	1.370908704
114	1.370107888
115	1.369690495
116	1.369246664
117	1.368572652
118	1.36830663
119	1.367924356
120	1.366976808
121	1.366644872
122	1.36604894
123	1.365996558
124	1.364992481
125	1.364039473
126	1.36368343
127	1.363260446
128	1.362738314
129	1.362073034
130	1.360935017
131	1.360393661
132	1.359785288
133	1.359508835
134	1.35930863
135	1.358884268
136	1.35877512
137	1.357377915
138	1.357009991
139	1.356388469
140	1.355923743
141	1.355510452
142	1.355417651
143	1.355088088
144	1.354672943
145	1.354401985
146	1.353860388
147	1.35328767
148	1.35312698
149	1.351966424
150	1.351616464
151	1.351296983
152	1.350715769
153	1.350485843
154	1.35002114
155	1.349516603
156	1.349160664
157	1.348613397
158	1.348153404
159	1.347567832
160	1.347139235
161	1.346470687
162	1.346249326
