iter	Passed	Remaining
0	0	597
1	1	575
2	1	560
3	2	551
4	2	544
5	3	541
6	3	541
7	4	558
8	5	558
9	5	557
10	6	557
11	6	556
12	7	559
13	7	550
14	8	554
15	9	558
16	9	554
17	10	552
18	10	552
19	11	548
20	11	550
21	12	554
22	13	554
23	13	552
24	14	550
25	14	548
26	15	546
27	15	544
28	16	543
29	16	541
30	17	543
31	17	543
32	18	544
33	19	544
34	19	542
35	20	542
36	20	540
37	21	538
38	21	537
39	22	536
40	22	534
41	23	533
42	24	536
43	24	535
44	25	534
45	25	532
46	26	531
47	26	530
48	27	530
49	27	529
50	28	527
51	28	527
52	29	526
53	29	524
54	30	523
55	30	521
56	31	521
57	32	520
58	32	519
59	33	517
60	33	516
61	34	515
62	34	513
63	35	512
64	35	511
65	36	511
66	36	510
67	37	508
68	37	507
69	38	506
70	38	504
71	39	503
72	39	503
73	40	502
74	40	501
75	41	500
76	41	500
77	42	499
78	42	498
79	43	497
80	43	496
81	44	495
82	44	495
83	45	493
84	45	492
85	46	489
86	46	488
87	47	487
88	47	485
89	47	484
90	48	483
91	48	482
92	49	480
93	49	478
94	50	476
95	50	475
96	51	474
97	51	473
98	51	472
99	52	471
100	52	470
101	53	469
102	53	468
103	54	467
104	54	466
105	55	464
106	55	463
107	55	461
108	56	460
109	56	460
110	57	459
111	57	458
112	58	457
113	58	456
114	59	455
115	59	454
116	60	453
117	60	452
118	61	451
119	61	451
120	61	450
121	62	449
122	62	448
123	63	447
124	63	446
125	64	445
126	64	444
127	65	443
128	65	443
129	66	442
130	66	441
131	67	440
132	67	440
133	68	439
134	68	438
135	68	438
136	69	437
137	69	436
138	70	435
139	70	434
140	71	433
141	71	432
142	72	431
143	72	431
144	73	430
145	73	430
146	73	428
147	74	427
148	74	427
149	75	426
150	75	425
151	76	424
152	76	424
153	77	423
154	77	422
155	77	421
156	78	420
157	78	420
158	79	419
159	79	418
160	80	417
161	80	417
162	81	416
163	81	415
164	81	414
165	82	413
166	82	412
167	83	411
168	83	411
169	84	410
170	84	409
171	84	408
172	85	408
173	85	407
174	86	406
175	86	405
176	87	405
177	87	405
178	88	404
179	88	404
180	89	403
181	89	402
182	90	402
183	90	401
184	91	401
185	91	400
186	92	400
187	92	399
188	92	398
189	93	398
190	93	397
191	94	396
192	94	396
193	95	395
194	95	394
195	96	394
196	96	393
197	96	392
198	97	391
199	97	391
200	98	390
201	98	390
202	99	389
203	99	388
204	100	388
205	100	387
206	100	386
207	101	386
208	101	385
209	102	384
210	102	384
211	103	383
212	103	383
213	104	382
214	104	381
215	104	380
216	105	380
217	105	379
218	106	378
219	106	377
220	106	377
221	107	376
222	107	375
223	108	374
224	108	374
225	109	373
226	109	372
227	109	372
228	110	371
229	110	370
230	111	369
231	111	369
232	111	368
233	112	367
234	112	367
235	113	366
236	113	365
237	114	365
238	114	364
239	114	363
240	115	363
241	115	362
242	116	361
243	116	360
244	116	360
245	117	359
246	117	358
247	118	358
248	118	357
249	118	356
250	119	356
251	119	355
252	120	355
253	120	355
254	121	354
255	121	354
256	122	353
257	122	353
258	123	352
259	123	352
260	124	351
261	124	351
262	125	350
263	125	349
264	125	349
265	126	348
266	126	347
267	127	347
268	127	346
269	127	345
270	128	345
271	128	344
272	129	343
273	129	343
274	129	342
275	130	342
276	130	341
277	131	340
278	131	340
279	131	339
280	132	338
281	132	338
282	133	337
283	133	336
284	134	336
285	134	336
286	135	335
287	135	335
288	136	334
289	136	334
290	136	333
291	137	333
292	137	332
293	138	331
294	138	331
295	138	330
296	139	329
297	139	329
298	140	328
299	140	328
300	141	327
301	141	327
302	141	326
303	142	325
304	142	325
305	143	324
306	143	324
307	143	323
308	144	322
309	144	322
310	145	321
311	145	320
312	145	320
313	146	319
314	146	319
315	147	318
316	147	318
317	148	317
318	148	316
319	148	316
320	149	315
321	149	315
322	150	314
323	150	314
324	151	313
325	151	313
326	151	312
327	152	311
328	152	311
329	153	310
330	153	310
331	153	309
332	154	309
333	154	308
334	155	307
335	155	307
336	155	306
337	156	306
338	156	305
339	157	305
340	157	304
341	158	303
342	158	303
343	158	302
344	159	302
345	159	301
346	159	301
347	160	300
348	160	299
349	161	299
350	161	298
351	162	298
352	162	297
353	162	297
354	163	296
355	163	295
356	163	295
357	164	294
358	164	294
359	165	293
360	165	293
361	165	292
362	166	291
363	166	291
364	167	290
365	167	290
366	168	289
367	168	289
368	169	289
369	169	288
370	170	288
371	170	287
372	170	287
373	171	286
374	171	286
375	172	285
376	172	285
377	173	285
378	173	284
379	173	283
380	174	283
381	174	282
382	175	282
383	175	281
384	176	281
385	176	280
386	176	280
387	177	279
388	177	279
389	178	278
390	178	277
391	178	277
392	179	276
393	179	276
394	179	275
395	180	275
396	180	274
397	181	273
398	181	273
399	182	273
400	182	272
401	183	272
402	183	271
403	183	271
404	184	271
405	184	270
406	185	269
407	185	269
408	186	268
409	186	268
410	186	267
411	187	267
412	187	266
413	188	266
414	188	265
415	188	265
416	189	264
417	189	264
418	190	263
419	190	263
420	191	262
421	191	262
422	191	261
423	192	261
424	192	260
425	193	260
426	193	259
427	193	259
428	194	258
429	194	258
430	195	257
431	195	257
432	195	256
433	196	255
434	196	255
435	197	255
436	197	254
437	197	254
438	198	253
439	198	253
440	199	252
441	199	251
442	199	251
443	200	250
444	200	250
445	201	249
